Date,Price,Crisis,Year,Month,Day,DayOfWeek,IsWeekend,Price_7day_MA,Price_30day_MA,Price_Trend,IsOutlier,IsWinter
1997-01-07,3.82,1,1997,1,7,1,0,,,0,0,1
1997-01-08,3.8,1,1997,1,8,2,0,,,-1,0,1
1997-01-09,3.61,1,1997,1,9,3,0,,,-1,0,1
1997-01-10,3.92,1,1997,1,10,4,0,,,1,0,1
1997-01-13,4.0,1,1997,1,13,0,0,,,1,0,1
1997-01-14,4.01,1,1997,1,14,1,0,,,1,0,1
1997-01-15,4.34,1,1997,1,15,2,0,3.9285714285714284,,1,0,1
1997-01-16,4.71,1,1997,1,16,3,0,4.055714285714286,,1,0,1
1997-01-17,3.91,1,1997,1,17,4,0,4.071428571428571,,-1,0,1
1997-01-20,3.26,1,1997,1,20,0,0,4.021428571428571,,-1,0,1
1997-01-21,2.99,1,1997,1,21,1,0,3.8885714285714283,,-1,0,1
1997-01-22,3.05,1,1997,1,22,2,0,3.7528571428571427,,1,0,1
1997-01-23,2.96,1,1997,1,23,3,0,3.6028571428571428,,-1,0,1
1997-01-24,2.62,1,1997,1,24,4,0,3.357142857142857,,-1,0,1
1997-01-27,2.98,1,1997,1,27,0,0,3.11,,1,0,1
1997-01-28,3.05,1,1997,1,28,1,0,2.9871428571428567,,1,0,1
1997-01-29,2.91,1,1997,1,29,2,0,2.937142857142857,,-1,0,1
1997-01-30,2.86,1,1997,1,30,3,0,2.9185714285714286,,-1,0,1
1997-01-31,2.77,1,1997,1,31,4,0,2.878571428571429,,-1,0,1
1997-02-03,2.49,1,1997,2,3,0,0,2.8114285714285714,,-1,0,1
1997-02-04,2.59,1,1997,2,4,1,0,2.807142857142857,,1,0,1
1997-02-05,2.65,1,1997,2,5,2,0,2.7600000000000002,,1,0,1
1997-02-06,2.51,1,1997,2,6,3,0,2.682857142857143,,-1,0,1
1997-02-07,2.39,1,1997,2,7,4,0,2.608571428571428,,-1,0,1
1997-02-10,2.42,1,1997,2,10,0,0,2.545714285714286,,1,0,1
1997-02-11,2.34,1,1997,2,11,1,0,2.4842857142857144,,-1,0,1
1997-02-12,2.42,1,1997,2,12,2,0,2.474285714285714,,1,0,1
1997-02-13,2.22,1,1997,2,13,3,0,2.4214285714285713,,-1,0,1
1997-02-14,2.12,1,1997,2,14,4,0,2.345714285714286,,-1,0,1
1997-02-18,1.84,1,1997,2,18,1,0,2.25,3.052,-1,0,1
1997-02-19,1.95,1,1997,2,19,2,0,2.187142857142857,2.989666666666667,1,0,1
1997-02-20,1.92,1,1997,2,20,3,0,2.1157142857142857,2.9269999999999996,-1,0,1
1997-02-21,1.92,1,1997,2,21,4,0,2.0557142857142856,2.8706666666666663,0,0,1
1997-02-24,1.92,1,1997,2,24,0,0,1.9842857142857144,2.804,0,0,1
1997-02-25,1.77,1,1997,2,25,1,0,1.9200000000000002,2.7296666666666662,-1,0,1
1997-02-26,1.81,1,1997,2,26,2,0,1.8757142857142857,2.6563333333333334,1,0,1
1997-02-27,1.8,1,1997,2,27,3,0,1.8699999999999999,2.5716666666666668,-1,0,1
1997-02-28,1.78,1,1997,2,28,4,0,1.8457142857142859,2.4739999999999998,-1,0,1
1997-03-03,1.8,1,1997,3,3,0,0,1.8285714285714285,2.4036666666666666,1,0,0
1997-03-04,1.87,1,1997,3,4,1,0,1.8214285714285714,2.3573333333333335,1,0,0
1997-03-05,1.92,1,1997,3,5,2,0,1.8214285714285716,2.3216666666666663,1,0,0
1997-03-06,1.82,1,1997,3,6,3,0,1.8285714285714287,2.280666666666667,-1,0,0
1997-03-07,1.89,1,1997,3,7,4,0,1.84,2.245,1,0,0
1997-03-10,1.95,1,1997,3,10,0,0,1.8614285714285717,2.2226666666666666,1,0,0
1997-03-11,1.92,1,1997,3,11,1,0,1.8814285714285712,2.1873333333333336,-1,0,0
